unit_id,essay_file,sentence_id,sentence_text,sentence_with_boundry,error_span,n_annotators,annotators,gold_expression,gold_discourse,gold_meaning,expression_confidence,discourse_confidence,meaning_confidence,row_ambiguity,expr_votes_sum,disc_votes_sum,mean_votes_sum,label_signature
CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx||5,CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx,5,No one likes others to change their hobby.,No one likes /ERR/others to change their hobby/ERR/.,others to change their hobby,2,ST_05|ST_15,0,1,0,high,high,high,low,0,2,0,0_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx||6,CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx,6,"Somebody likes to smoke, so we have no right to refuse them to have dinners at restaurants for this reason.","Somebody likes to smoke, so we have no right to /ERR/refuse them to have dinners/ERR/ at restaurants for this reason.",refuse them to have dinners,2,ST_05|ST_15,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx||7,CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx,7,"Somebody likes to smoke, so we have no right to refuse them to have dinners at restaurants for this reason.","Somebody likes to smoke, so we have no right to refuse them to have dinners at restaurants /ERR/for this reason/ERR/.",for this reason,2,ST_05|ST_15,1,0,0,high,high,high,low,2,0,0,1_0_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx||8,CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx,8,"For another thing, the restaurants are public places, smoking at public places is not good but we can do nothing but advising them.","For another thing, the restaurants are public places, smoking at public places is not good but we can do nothing but /ERR/advising them/ERR/.",advising them,2,ST_05|ST_15,1,1,0,low,high,high,high,1,2,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx||9,CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx,9,"However, the restaurants' owners can leave a room for those smokers.","However, the restaurants' owners can /ERR/leave a room/ERR/ for those smokers.",leave a room,2,ST_05|ST_15,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx||10,CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx,10,"When they want to smoke, they should go to that room for them.","When they want to smoke, they should go to that room /ERR/for them/ERR/.",for them,2,ST_05|ST_15,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx||11,CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx,11,This can separate smokers from most customers and I believe more and more customers will be interested in this restaurant if you do like this.,This can separate smokers from most customers and I believe more and more customers will be interested in this restaurant if /ERR/you do like this/ERR/.,you do like this,2,ST_05|ST_15,1,1,0,high,low,high,high,2,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx||12,CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx,12,"So by this way, both smokers and other customers are happy with this method in the restaurant.","So /ERR/by this way/ERR/, both smokers and other customers are happy with this method in the restaurant.",by this way,2,ST_05|ST_15,1,0,1,low,high,low,high,1,0,1,1_0_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx||13,CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx,13,So it is difficult to completely ban smoking in all the restaurants in the country because we can do other things for this problem.,So it is difficult to completely ban smoking in all the restaurants in the country because we can /ERR/do other things for this problem/ERR/.,do other things for this problem,2,ST_05|ST_15,1,1,0,low,high,high,high,1,2,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx||14,CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx,14,"But as we all known, smoking is an immediate threat to health; it can cause seriously cancer.","But /ERR/as we all known/ERR/, smoking is an immediate threat to health; it can cause seriously cancer.",as we all known,2,ST_05|ST_15,1,1,0,high,low,high,high,2,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx||15,CHN_A2_0 - Smoking - WE_CHN_SMK0_021_A2_0.xlsx,15,"But as we all known, smoking is an immediate threat to health; it can cause seriously cancer.","But as we all known, smoking is an immediate threat to health; it can cause /ERR/seriously cancer/ERR/.",seriously cancer,2,ST_05|ST_15,1,1,0,high,low,high,high,2,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx||1,CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx,1,"For many years, smoking is a hot topic for the people all over the world.","For many years, smoking is a hot topic for /ERR/the people/ERR/ all over the world.",the people,2,ST_10|ST_20,1,1,1,high,low,low,high,2,1,1,1_1_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx||2,CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx,2,People always say that smoking is harm to our health and we should reduce the population of smoking.,People always say that smoking is /ERR/harm to our health/ERR/ and we should reduce the population of smoking.,harm to our health,2,ST_10|ST_20,1,0,0,low,high,high,high,1,0,0,1_0_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx||3,CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx,3,People always say that smoking is harm to our health and we should reduce the population of smoking.,People always say that smoking is harm to our health and we should reduce /ERR/the population of smoking/ERR/.,the population of smoking,2,ST_10|ST_20,0,0,1,high,high,low,high,0,0,1,0_0_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx||6,CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx,6,"On the one hand, smoking does no good than harm to our health and restaurant is a place of eating.","On the one hand, smoking does /ERR/no good than harm/ERR/ to our health and restaurant is a place of eating.",no good than harm,2,ST_10|ST_20,0,1,0,high,high,high,low,0,2,0,0_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx||7,CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx,7,"On the one hand, smoking does no good than harm to our health and restaurant is a place of eating.","On the one hand, smoking does no good than harm to our health and /ERR/restaurant is a place of eating/ERR/.",restaurant is a place of eating,2,ST_10|ST_20,0,1,0,high,low,high,high,0,1,0,0_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx||8,CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx,8,"People eat and drink in the restaurant, if one people in the restaurant smoking, it will pollute the whole air of restaurant.","People eat and drink in the restaurant, if /ERR/one people/ERR/ in the restaurant smoking, it will pollute the whole air of restaurant.",one people,2,ST_10|ST_20,1,0,1,high,high,low,high,2,0,1,1_0_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx||9,CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx,9,"People eat and drink in the restaurant, if one people in the restaurant smoking, it will pollute the whole air of restaurant.","People eat and drink in the restaurant, if one people in the restaurant /ERR/smoking/ERR/, it will pollute the whole air of restaurant.",smoking,2,ST_10|ST_20,1,0,1,high,high,low,high,2,0,1,1_0_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx||10,CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx,10,"People eat and drink in the restaurant, if one people in the restaurant smoking, it will pollute the whole air of restaurant.","People eat and drink in the restaurant, if one people in the restaurant smoking, it will pollute the /ERR/whole air of restaurant/ERR/.",whole air of restaurant,2,ST_10|ST_20,1,1,1,high,low,low,high,2,1,1,1_1_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx||11,CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx,11,Those people around the smokers will not have good mood to have their dinner any longer.,Those people around the smokers will not have /ERR/good mood/ERR/ to have their dinner any longer.,good mood,2,ST_10|ST_20,1,1,1,low,high,low,high,1,2,1,1_1_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx||12,CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx,12,Some scientists say that second-hand smoke is more dangerous in many examples.,Some scientists say that second-hand smoke is more dangerous /ERR/in many examples/ERR/.,in many examples,2,ST_10|ST_20,1,1,0,low,low,high,high,1,1,0,1_1_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx||13,CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx,13,We know people in the restaurants all want to be healthy.,We know /ERR/people in the restaurants/ERR/ all want to be healthy.,people in the restaurants,2,ST_10|ST_20,1,0,0,high,high,high,low,2,0,0,1_0_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx||14,CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx,14,"On the other hand, smoking in the restaurant may catch the fire easily and it is dangerous for us to have a meal in the dangerous place.","On the other hand, smoking in the restaurant may /ERR/catch the fire/ERR/ easily and it is dangerous for us to have a meal in the dangerous place.",catch the fire,2,ST_10|ST_20,0,1,1,high,high,low,high,0,2,1,0_1_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx||15,CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx,15,"On the other hand, smoking in the restaurant may catch the fire easily and it is dangerous for us to have a meal in the dangerous place.","On the other hand, smoking in the restaurant may catch the fire easily and it is dangerous for us to have a meal in the /ERR/dangerous place/ERR/.",dangerous place,2,ST_10|ST_20,1,1,1,low,low,low,high,1,1,1,1_1_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx||16,CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx,16,I read some news in newspapers that some restaurants got fire because smokers threw cigarettes after smoking into some places in the restaurants.,I read some news in newspapers that some restaurants /ERR/got fire/ERR/ because smokers threw cigarettes after smoking into some places in the restaurants.,got fire,2,ST_10|ST_20,1,1,1,low,low,low,high,1,1,1,1_1_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx||17,CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx,17,I read some news in newspapers that some restaurants got fire because smokers threw cigarettes after smoking into some places in the restaurants.,I read some news in newspapers that some restaurants got fire because smokers threw cigarettes after smoking into /ERR/some places in the restaurants/ERR/.,some places in the restaurants,2,ST_10|ST_20,1,0,1,low,high,low,high,1,0,1,1_0_1
CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx||18,CHN_A2_0 - Smoking - WE_CHN_SMK0_022_A2_0.xlsx,18,"So, because the reasons above, smoking should be completely banned at all the restaurants in the country.","So, /ERR/because the reasons above/ERR/, smoking should be completely banned at all the restaurants in the country.",because the reasons above,2,ST_10|ST_20,1,0,0,low,high,high,high,1,0,0,1_0_0
CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx||2,CHN_A2_0 - Smoking - WE_CHN_SMK0_024_A2_0.xlsx,2,This phenomenon brings great damage especially smoking in the restaurants.,This phenomenon /ERR/brings great damage/ERR/ especially smoking in the restaurants.,brings great damage,2,ST_12|ST_18,1,0,0,high,high,high,low,2,0,0,1_0_0
